,id,standard_drug_name,gene,dataset,cancer_type,pvalue,effect_size,provided_pvalue,provided_effect_size,n_mut,n_wt,provided_n_mut,provided_n_wt
90,43537960,3-Cl-AHPC,SPAM1,All,pancan,0.430612,0.788144,,,30,678,,
91,43537961,3-Cl-AHPC,AGXT,All,pancan,0.968919,0.0389643,,,61,647,,
92,43537962,3-Cl-AHPC,CLEC4F,All,pancan,0.934073,-0.0827212,,,55,653,,
93,43537963,3-Cl-AHPC,CPSF2,All,pancan,0.0919508,1.6852,,,16,692,,
94,43537964,3-Cl-AHPC,TMPRSS4,All,pancan,0.343844,-0.946597,,,19,689,,
95,43537965,3-Cl-AHPC,SLC41A3,All,pancan,0.0987595,1.6509,,,28,680,,
96,43537966,3-Cl-AHPC,IBTK,All,pancan,0.514512,-0.651828,,,40,668,,
97,43537967,3-Cl-AHPC,DLK1,All,pancan,0.321855,0.990653,,,54,654,,
98,43537968,3-Cl-AHPC,KRT7,All,pancan,0.841382,0.200126,,,78,630,,
99,43537969,3-Cl-AHPC,SOBP,All,pancan,0.801363,0.251583,,,49,659,,
100,43537970,3-Cl-AHPC,ATP11C,All,pancan,0.0740699,-1.78618,,,93,615,,
101,43537971,3-Cl-AHPC,CAPN7,All,pancan,0.530955,-0.626548,,,23,685,,
102,43537972,3-Cl-AHPC,MAN1C1,All,pancan,0.141287,-1.47102,,,17,691,,
103,43537973,3-Cl-AHPC,AR,All,pancan,0.50485,-0.666877,,,47,661,,
104,43537974,3-Cl-AHPC,MFSD13A,All,pancan,0.360318,-0.91476,,,19,689,,
105,43537975,3-Cl-AHPC,LAMB1,All,pancan,0.852894,0.185427,,,72,636,,
106,43537976,3-Cl-AHPC,GALNT15,All,pancan,0.258051,-1.13101,,,33,675,,
107,43537977,3-Cl-AHPC,CALD1,All,pancan,0.471969,-0.719279,,,54,654,,
108,43537978,3-Cl-AHPC,ALLC,All,pancan,0.425082,-0.797635,,,28,680,,
109,43537979,3-Cl-AHPC,AKT2,All,pancan,0.43953,-0.772987,,,12,696,,
110,43537980,3-Cl-AHPC,GSTT4,All,pancan,0.096842,-1.66036,,,11,697,,
111,43537981,3-Cl-AHPC,FAM83G,All,pancan,0.092234,-1.68373,,,39,669,,
112,43537982,3-Cl-AHPC,KRTAP10-11,All,pancan,0.569518,-0.568761,,,32,676,,
113,43537983,3-Cl-AHPC,MLH1,All,pancan,0.910014,-0.113021,,,56,652,,
114,43537984,3-Cl-AHPC,OR4B1,All,pancan,0.785314,-0.272401,,,33,675,,
115,43537985,3-Cl-AHPC,EARS2,All,pancan,0.266313,1.11159,,,25,683,,
116,43537986,3-Cl-AHPC,CSNK2A1,All,pancan,0.201127,1.27835,,,12,696,,
117,43537987,3-Cl-AHPC,KBTBD2,All,pancan,0.517071,-0.647867,,,16,692,,
118,43537988,3-Cl-AHPC,PPARGC1A,All,pancan,0.538573,0.614972,,,33,675,,
119,43537989,3-Cl-AHPC,MGAT3,All,pancan,0.936925,-0.0791359,,,26,682,,
120,43537990,3-Cl-AHPC,CLUAP1,All,pancan,0.0168814,2.38928,,,102,606,,
121,43537991,3-Cl-AHPC,GPATCH1,All,pancan,0.028339,-2.19256,,,37,671,,
122,43537992,3-Cl-AHPC,HSPB9,All,pancan,0.79958,0.253891,,,13,695,,
123,43537993,3-Cl-AHPC,ACOX3,All,pancan,0.560576,-0.581986,,,30,678,,
124,43537994,3-Cl-AHPC,OR5M3,All,pancan,0.0572919,1.90108,,,46,662,,
125,43537995,3-Cl-AHPC,LYPLA2,All,pancan,0.193516,-1.30025,,,10,698,,
126,43537996,3-Cl-AHPC,BCKDHB,All,pancan,0.075431,-1.77783,,,14,694,,
127,43537997,3-Cl-AHPC,BEND3,All,pancan,0.0985671,-1.65184,,,28,680,,
128,43537998,3-Cl-AHPC,ZNF676,All,pancan,0.303588,1.02877,,,51,657,,
129,43537999,3-Cl-AHPC,PLEKHA6,All,pancan,0.549803,-0.598056,,,68,640,,
130,43538000,3-Cl-AHPC,HCN1,All,pancan,0.852546,-0.185871,,,56,652,,
131,43538001,3-Cl-AHPC,STK39,All,pancan,0.0121971,-2.50639,,,14,694,,
132,43538002,3-Cl-AHPC,CCDC137,All,pancan,0.924709,-0.0945036,,,27,681,,
133,43538003,3-Cl-AHPC,SLC4A1,All,pancan,0.561786,0.580191,,,66,642,,
134,43538004,3-Cl-AHPC,TP53BP2,All,pancan,0.582495,-0.549743,,,51,657,,
135,43538005,3-Cl-AHPC,TERT,All,pancan,0.361367,-0.912763,,,20,688,,
136,43538006,3-Cl-AHPC,IRF6,All,pancan,0.405193,0.832383,,,21,687,,
137,43538007,3-Cl-AHPC,EIF4G3,All,pancan,0.18729,-1.31864,,,53,655,,
138,43538008,3-Cl-AHPC,PCP2,All,pancan,0.456949,-0.74388,,,13,695,,
139,43538009,3-Cl-AHPC,DHRS2,All,pancan,0.12648,-1.52813,,,22,686,,
140,43538010,3-Cl-AHPC,LAPTM5,All,pancan,0.250535,-1.14905,,,15,693,,
141,43538011,3-Cl-AHPC,MVK,All,pancan,0.318374,-0.997805,,,14,694,,
142,43538012,3-Cl-AHPC,SEMA6D,All,pancan,0.648784,-0.455453,,,50,658,,
143,43538013,3-Cl-AHPC,ADAMTS2,All,pancan,0.745339,0.324791,,,85,623,,
144,43538014,3-Cl-AHPC,RHBDD3,All,pancan,0.689796,-0.399132,,,21,687,,
145,43538015,3-Cl-AHPC,ZNF518A,All,pancan,0.929464,0.0885188,,,34,674,,
146,43538016,3-Cl-AHPC,METTL6,All,pancan,0.203287,-1.27224,,,16,692,,
147,43538017,3-Cl-AHPC,PRODH2,All,pancan,0.338628,-0.95688,,,36,672,,
148,43538018,3-Cl-AHPC,CC2D2B,All,pancan,0.629957,-0.481787,,,28,680,,
149,43538019,3-Cl-AHPC,TRPM3,All,pancan,0.182564,-1.3329,,,64,644,,
150,43538020,3-Cl-AHPC,YTHDF3,All,pancan,0.831456,-0.212835,,,21,687,,
151,43538021,3-Cl-AHPC,REL,All,pancan,0.84524,-0.195196,,,20,688,,
152,43538022,3-Cl-AHPC,ACMSD,All,pancan,0.773933,0.287234,,,26,682,,
153,43538023,3-Cl-AHPC,SP2,All,pancan,0.629165,-0.482902,,,22,686,,
154,43538024,3-Cl-AHPC,CENPQ,All,pancan,0.892913,0.134619,,,15,693,,
155,43538025,3-Cl-AHPC,FAM20A,All,pancan,0.967601,-0.0406173,,,21,687,,
156,43538026,3-Cl-AHPC,P4HTM,All,pancan,0.886673,0.142515,,,23,685,,
157,43538027,3-Cl-AHPC,KCTD7,All,pancan,0.121661,-1.54784,,,10,698,,
158,43538028,3-Cl-AHPC,FAM83H,All,pancan,0.0732413,-1.79132,,,60,648,,
159,43538029,3-Cl-AHPC,SCUBE1,All,pancan,0.669533,0.426789,,,51,657,,
160,43538030,3-Cl-AHPC,EXT1,All,pancan,0.0327842,-2.13472,,,26,682,,
161,43538031,3-Cl-AHPC,RHNO1,All,pancan,0.633918,0.476219,,,24,684,,
162,43538032,3-Cl-AHPC,B3GNT4,All,pancan,0.132924,-1.50267,,,38,670,,
163,43538033,3-Cl-AHPC,FBXO42,All,pancan,0.448662,-0.757648,,,21,687,,
164,43538034,3-Cl-AHPC,MOV10L1,All,pancan,0.600911,0.52309,,,45,663,,
165,43538035,3-Cl-AHPC,GALK2,All,pancan,0.30579,1.0241,,,21,687,,
166,43538036,3-Cl-AHPC,CDC42BPG,All,pancan,0.609273,-0.511111,,,71,637,,
167,43538037,3-Cl-AHPC,CLDND2,All,pancan,0.0900777,-1.69499,,,33,675,,
168,43538038,3-Cl-AHPC,ACTR5,All,pancan,0.903216,-0.1216,,,33,675,,
169,43538039,3-Cl-AHPC,UPF1,All,pancan,0.071333,-1.80335,,,36,672,,
170,43538040,3-Cl-AHPC,DCLK1,All,pancan,0.514002,-0.652619,,,25,683,,
171,43538041,3-Cl-AHPC,SLC49A3,All,pancan,0.124596,-1.53577,,,29,679,,
172,43538042,3-Cl-AHPC,LPCAT3,All,pancan,0.872178,0.160893,,,19,689,,
173,43538043,3-Cl-AHPC,COQ3,All,pancan,0.897824,-0.12841,,,18,690,,
174,43538044,3-Cl-AHPC,MCUR1,All,pancan,0.978422,0.0270474,,,12,696,,
175,43538045,3-Cl-AHPC,CNNM1,All,pancan,0.63059,-0.480897,,,31,677,,
176,43538046,3-Cl-AHPC,UPK3A,All,pancan,0.00716321,2.68916,,,31,677,,
177,43538047,3-Cl-AHPC,PNPT1,All,pancan,0.383549,0.871376,,,21,687,,
178,43538048,3-Cl-AHPC,GLRA1,All,pancan,0.894987,-0.131996,,,28,680,,
179,43538049,3-Cl-AHPC,CD248,All,pancan,0.385383,0.868021,,,61,647,,
180,43538050,3-Cl-AHPC,SPAG5,All,pancan,0.00964097,-2.58845,,,46,662,,
181,43538051,3-Cl-AHPC,OSBPL6,All,pancan,0.446552,0.761176,,,46,662,,
182,43538052,3-Cl-AHPC,PCDH11X,All,pancan,0.364779,0.906296,,,71,637,,
183,43538053,3-Cl-AHPC,TBC1D32,All,pancan,0.229351,-1.20203,,,53,655,,
184,43538054,3-Cl-AHPC,SLC39A11,All,pancan,0.899113,0.126782,,,19,689,,
185,43538055,3-Cl-AHPC,C16orf92,All,pancan,0.793373,0.261933,,,12,696,,
186,43538056,3-Cl-AHPC,THRA,All,pancan,0.546395,-0.603171,,,17,691,,
187,43538057,3-Cl-AHPC,RSPO2,All,pancan,0.151686,-1.4336,,,15,693,,
188,43538058,3-Cl-AHPC,ZNF75D,All,pancan,0.449906,-0.755572,,,19,689,,
189,43538059,3-Cl-AHPC,C6orf136,All,pancan,0.657636,0.443179,,,31,677,,
190,43538060,3-Cl-AHPC,GLRA3,All,pancan,0.578787,0.555157,,,17,691,,
191,43538061,3-Cl-AHPC,RAB6C,All,pancan,0.0156195,-2.41769,,,22,686,,
192,43538062,3-Cl-AHPC,KRT77,All,pancan,0.381501,-0.875133,,,31,677,,
193,43538063,3-Cl-AHPC,COL11A2,All,pancan,0.679618,0.412985,,,85,623,,
194,43538064,3-Cl-AHPC,NKAPD1,All,pancan,0.739757,-0.332175,,,26,682,,
195,43538065,3-Cl-AHPC,PROC,All,pancan,0.562479,0.579164,,,17,691,,
196,43538066,3-Cl-AHPC,NDUFV2,All,pancan,0.129193,1.51729,,,36,672,,
197,43538067,3-Cl-AHPC,CRAT,All,pancan,0.84509,-0.195388,,,35,673,,
198,43538068,3-Cl-AHPC,ZFPM1,All,pancan,0.788596,-0.268135,,,34,674,,
199,43538069,3-Cl-AHPC,TIMP4,All,pancan,0.214578,1.24108,,,10,698,,
200,43538070,3-Cl-AHPC,CHST15,All,pancan,0.0515311,-1.94703,,,38,670,,
201,43538071,3-Cl-AHPC,EXTL1,All,pancan,0.5137,-0.653087,,,38,670,,
202,43538072,3-Cl-AHPC,CEACAM1,All,pancan,0.779236,-0.280314,,,37,671,,
203,43538073,3-Cl-AHPC,CIT,All,pancan,0.365182,-0.905535,,,82,626,,
204,43538074,3-Cl-AHPC,TMEM150B,All,pancan,0.0707081,-1.80735,,,19,689,,
205,43538075,3-Cl-AHPC,WAPL,All,pancan,0.0742269,-1.78521,,,39,669,,
206,43538076,3-Cl-AHPC,DAAM1,All,pancan,0.152687,1.4301,,,38,670,,
207,43538077,3-Cl-AHPC,UHRF1BP1L,All,pancan,0.964646,-0.0443242,,,70,638,,
208,43538078,3-Cl-AHPC,SMAD7,All,pancan,0.3925,-0.855092,,,20,688,,
