,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
448,ABT737,IPC-298,All,CTRP2,16,0.0011,37.0,7.14978,8.63697,4.72132,0.0538234,0.249022,0.0283461
449,ABT737,PAB433,All,CTRP2,16,0.0011,37.0,7.46813,9.88517,4.37856,0.113723,0.883136,0.03739
450,ABT737,LOX-IMVI,All,"CTRP2,GDSC2",23,0.0011,37.0,7.51813,13.4835,2.80194,0.299358,6.39264,0.12389
451,ABT737,SK-MEL-30,All,CTRP2,16,0.0011,37.0,6.85209,8.26313,4.73991,0.0719006,0.318653,0.0472209
452,ABT737,HCC1143,All,"CTRP2,GDSC2",23,0.0011,37.0,5.15068,13.6743,0.92794,0.503787,17.5401,0.105832
453,ABT737,MDA-MB-435S,All,CTRP2,16,0.0011,37.0,7.90372,16.4127,1.66304,0.33276,10.1565,0.0620373
454,ABT737,MM1.S,All,"CTRP2,GDSC2",23,0.0011,37.0,11.1064,28.1493,-1.79646,0.318591,16.4276,0.179793
455,ABT737,NCI-H1184,All,CTRP2,16,0.0011,37.0,1.67389,15.8767,-3.29632,0.633431,36.4361,0.143007
456,ABT737,PK-59,All,CTRP2,16,0.0011,37.0,8.45542,17.1886,1.66099,0.306471,9.40845,0.0839573
457,ABT737,TE-1,All,"CTRP2,GDSC2",23,0.0011,37.0,9.57221,19.1196,1.46664,0.268148,8.68985,0.0734815
458,ABT737,WM1799,All,CTRP2,16,0.0011,37.0,12.4404,24.6867,0.632376,0.21461,8.27792,0.0447379
459,ABT737,WM793,All,"CTRP2,GDSC2",23,0.0011,37.0,11.9473,25.9005,-0.205878,0.257117,11.204,0.0730121
460,ABT737,HELA,All,"CTRP2,GDSC2",23,0.0011,37.0,6.63799,7.4277,4.95697,0.0184398,0.044484,0.0606337
461,ABT737,KYSE-70,All,"CTRP2,GDSC2",23,0.0011,37.0,7.71077,9.33186,4.68573,0.0326012,0.162616,0.0580012
462,ABT737,NUGC-3,All,"CTRP2,GDSC2",23,0.0011,37.0,9.7463,19.9182,1.2044,0.272891,9.36516,0.0733854
463,ABT737,PANC05.04,All,CTRP2,16,0.0011,37.0,7.19358,8.6105,4.74777,0.0440746,0.193298,0.0781965
464,ABT737,OAW28,All,"CTRP2,GDSC2",23,0.0011,37.0,5.35822,16.2868,-0.205764,0.492523,20.9098,0.111698
465,ABT737,TCC-PAN2,All,CTRP2,16,0.0011,37.0,7.87648,12.9343,3.27827,0.238921,4.17228,0.0658349
466,ABT737,YAPC,All,"CTRP2,GDSC2",23,0.0011,37.0,7.35263,9.04533,4.65198,0.0583066,0.307767,0.0477145
467,ABT737,ZR-75-1,All,CTRP2,16,0.0011,37.0,6.60137,8.44347,4.55221,0.159728,0.970241,0.0475838
468,ABT737,HD-MY-Z,All,"CTRP2,GDSC2",23,0.0011,37.0,4.41106,8.87449,2.67539,0.597011,12.2651,0.0400821
469,ABT737,NCI-H2170,All,"CTRP2,GDSC2",23,0.0011,37.0,1.31221,5.81633,0.776304,0.870024,27.7551,0.0680698
470,ABT737,NCI-H647,All,CTRP2,16,0.0011,37.0,4.24125,8.19287,2.85007,0.631429,11.9324,0.0753805
471,ABT737,PATU8988S,All,CTRP2,16,0.0011,37.0,2.11771,4.68007,1.96375,0.934083,21.0884,0.039652
472,ABT737,TE-5,All,"CTRP2,GDSC2",23,0.0011,37.0,3.85439,7.23248,2.92662,0.707108,12.553,0.0610639
473,ABT737,UACC-257,All,"CTRP2,GDSC2",23,0.0011,37.0,5.23798,10.6083,2.53378,0.497082,11.1372,0.0589547
474,ABT737,UACC-62,All,"CTRP2,GDSC2",23,0.0011,37.0,5.08637,6.38986,4.51378,0.551684,3.16493,0.0465559
475,ABT737,BICR6,All,CTRP2,16,0.0011,37.0,7.95065,15.1502,2.29583,0.302255,7.74645,0.0463531
476,ABT737,BT145,All,CTRP2,16,0.0011,37.0,6.38926,10.7227,3.36343,0.354753,5.74253,0.0687851
477,ABT737,BT179,All,CTRP2,16,0.0011,37.0,6.46629,14.1922,1.71765,0.411579,12.1741,0.0273927
478,ABT737,EC-GI-10,All,"CTRP2,GDSC2",23,0.0011,37.0,5.40264,10.6369,2.655,0.479737,10.3247,0.0703755
479,ABT737,FTC-133,All,"CTRP2,GDSC2",23,0.0011,37.0,0.287081,8.0815,-1.14972,0.800209,36.6666,0.0845615
480,ABT737,JHUEM-3,All,CTRP2,16,0.0011,37.0,2.94352,6.8567,2.15113,0.781138,17.9846,0.0605218
481,ABT737,LK2,All,CTRP2,16,0.0011,37.0,4.62258,10.2662,2.17679,0.556875,13.8403,0.117257
482,ABT737,LNCAPCLONEFGC,All,"CTRP2,GDSC2",23,0.0011,37.0,4.63089,14.1614,0.242665,0.533297,20.9702,0.106087
483,ABT737,HCC1428,All,"CTRP2,GDSC2",23,0.0011,37.0,1.62097,6.34737,0.932574,0.841339,26.2648,0.0475709
484,ABT737,OE21,All,"CTRP2,GDSC2",23,0.0011,37.0,4.10531,7.52732,3.03805,0.67017,11.4861,0.0567641
485,ABT737,BT112,All,CTRP2,16,0.0011,37.0,7.97375,16.091,1.8642,0.321202,9.32043,0.0567968
486,ABT737,BT164,All,CTRP2,16,0.0011,37.0,6.20573,8.24553,4.41945,0.254803,1.81567,0.0565214
487,ABT737,CCF-STTG1,All,CTRP2,16,0.0011,37.0,10.9895,23.7665,0.191438,0.270127,11.1133,0.0331448
488,ABT737,COLO800,All,CTRP2,16,0.0011,37.0,13.6075,31.2795,-1.66929,0.260348,13.3032,0.0641349
489,ABT737,DK-MG,All,"CTRP2,GDSC2",23,0.0011,37.0,8.47376,16.3586,2.06383,0.287071,7.92974,0.068754
490,ABT737,NCI-H1869,All,"CTRP2,GDSC2",23,0.0011,37.0,5.27259,11.6664,2.03344,0.494576,13.0967,0.0833256
491,ABT737,HCC38,All,"CTRP2,GDSC2",23,0.0011,37.0,1.02849,5.04409,0.690719,0.907854,28.9461,0.0992468
492,ABT737,JHUEM-7,All,CTRP2,16,0.0011,37.0,8.11733,17.8595,1.11318,0.341676,11.8158,0.0572471
493,ABT737,JL-1,All,CTRP2,16,0.0011,37.0,7.44028,8.86757,4.7488,0.0312431,0.137115,0.01958
494,ABT737,SNU-685,All,CTRP2,16,0.0011,37.0,7.27796,12.0113,3.33897,0.276837,4.6381,0.0394417
495,ABT737,BT224,All,CTRP2,16,0.0011,37.0,7.20378,9.22995,4.51871,0.103152,0.667607,0.0447727
496,ABT737,BT-549,All,"CTRP2,GDSC2",23,0.0011,37.0,7.65329,17.1863,1.11528,0.362791,12.4936,0.0477336
497,ABT737,HCC202,All,CTRP2,16,0.0011,37.0,6.61331,9.47611,4.10153,0.253984,2.53868,0.0948902
498,ABT737,H-STS,All,CTRP2,16,0.0011,37.0,6.55011,7.39767,4.93616,0.0300159,0.0781743,0.0743099
499,ABT737,K029AX,All,CTRP2,16,0.0011,37.0,6.45193,8.31847,4.52753,0.188069,1.17694,0.0479389
500,ABT737,KYSE-520,All,"CTRP2,GDSC2",23,0.0011,37.0,8.71144,17.5931,1.63626,0.296014,9.16252,0.0564986
