,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
738,3-Cl-AHPC,CALU-1,All,CTRP2,16,0.002,66.0,3.80478,8.53137,2.65558,0.739065,19.2162,0.0581945
739,3-Cl-AHPC,CAPAN-2,All,CTRP2,16,0.002,66.0,2.30236,8.92512,0.927616,0.775823,29.5549,0.0714779
740,3-Cl-AHPC,DMS114,All,CTRP2,16,0.002,66.0,1.99421,3.3744,1.99222,0.998418,26.9895,0.0730176
741,3-Cl-AHPC,EKVX,All,CTRP2,16,0.002,66.0,4.5171,7.69102,3.75504,0.742176,13.0436,0.0989701
742,3-Cl-AHPC,HCC1438,All,CTRP2,16,0.002,66.0,0.751837,2.69159,0.74745,0.997515,35.2743,0.0542275
743,3-Cl-AHPC,HCT8,All,CTRP2,16,0.002,66.0,2.4491,4.45735,2.414,0.980803,24.0704,0.0687167
744,3-Cl-AHPC,HOP-92,All,CTRP2,16,0.002,66.0,3.1802,8.37192,2.0769,0.770684,23.0901,0.079441
745,3-Cl-AHPC,KYM-1,All,CTRP2,16,0.002,66.0,-2.1636,1.65576,-2.19426,0.991181,54.5564,0.11353
746,3-Cl-AHPC,KYSE-30,All,CTRP2,16,0.002,66.0,2.66807,6.02715,2.36441,0.901011,23.5502,0.0509743
747,3-Cl-AHPC,KYSE-510,All,CTRP2,16,0.002,66.0,1.24769,4.26227,1.16693,0.970578,32.224,0.0483564
748,3-Cl-AHPC,L-428,All,CTRP2,16,0.002,66.0,-0.00793138,2.33443,-0.0152042,0.996589,40.3442,0.0745827
749,3-Cl-AHPC,MDA-MB-361,All,CTRP2,16,0.002,66.0,4.58456,11.0449,2.24326,0.621637,18.8436,0.0995987
750,3-Cl-AHPC,MFE-296,All,CTRP2,16,0.002,66.0,0.312894,4.44957,0.14159,0.954537,38.6772,0.0574651
751,3-Cl-AHPC,NU-DHL-1,All,CTRP2,16,0.002,66.0,-2.36736,0.261908,-2.36948,0.999115,56.0154,0.111824
752,3-Cl-AHPC,SNB-75,All,CTRP2,16,0.002,66.0,3.72455,7.13907,3.14769,0.816499,17.5511,0.0852479
753,3-Cl-AHPC,SNU-216,All,CTRP2,16,0.002,66.0,4.64344,7.50354,3.96679,0.745786,11.8767,0.0768987
754,3-Cl-AHPC,BICR16,All,CTRP2,16,0.002,66.0,3.42277,6.67669,2.98871,0.854491,19.0148,0.0566353
755,3-Cl-AHPC,F-36P,All,CTRP2,16,0.002,66.0,1.16154,4.61372,1.02701,0.957214,32.9714,0.0746617
756,3-Cl-AHPC,JJN-3,All,CTRP2,16,0.002,66.0,2.67924,7.3779,1.93755,0.828302,25.0416,0.0639243
757,3-Cl-AHPC,KASUMI-2,All,CTRP2,16,0.002,66.0,-1.98336,-0.952116,-1.98336,1.0,53.482,0.066236
758,3-Cl-AHPC,KG-1-C,All,CTRP2,16,0.002,66.0,5.78577,6.28072,5.67509,0.759163,2.1365,0.0437593
759,3-Cl-AHPC,KMS-20,All,CTRP2,16,0.002,66.0,-0.851189,1.83216,-0.859782,0.996482,45.9575,0.081974
760,3-Cl-AHPC,KYSE-150,All,CTRP2,16,0.002,66.0,1.58378,4.79183,1.45229,0.955003,30.158,0.0550982
761,3-Cl-AHPC,OCI-AML-5,All,CTRP2,16,0.002,66.0,0.0403668,1.48687,0.0402227,0.999891,40.0002,0.0543177
762,3-Cl-AHPC,PANC08.13,All,CTRP2,16,0.002,66.0,2.23012,6.29945,1.80941,0.886905,26.8629,0.0928265
